rank,title,score,user_score,release_date
44,The Walking Dead: Episode 2 - Starved for Help,8.6,8.6,2012-06-29
45,Lair of the Clockwork God,7.1,7.1,2020-02-21
46,Rakuen,8.3,8.3,2017-05-10
47,Tales From The Borderlands: Episode 1 - Zer0 Sum,8.4,8.4,2014-11-25
48,Mythic Ocean,6.6,6.6,2020-01-09
49,80 Days (2015),7.3,7.3,2015-09-29
50,Eliza,5.7,5.7,2019-08-12
51,Time Gentlemen Please!,7.5,7.5,2009-07-02
52,Bulb Boy,7.9,7.9,2015-10-29
53,Grim Fandango Remastered,8.1,8.1,2015-01-26
54,Thimbleweed Park,8.1,8.1,2017-03-30
55,Telling Lies,6.4,6.4,2019-08-23
56,The Wolf Among Us: Episode 5 - Cry Wolf,8.8,8.8,2014-07-08
57,Detention,7.8,7.8,2017-01-12
58,Clannad,8.7,8.7,2015-11-23
59,If Found...,tbd,tbd,2020-05-19
60,Four Last Things,8.8,8.8,2017-02-23
61,The Blackwell Epiphany,7.6,7.6,2014-04-24
62,Muv-Luv Alternative,8.8,8.8,2017-09-18
63,Danganronpa 2: Goodbye Despair,8.9,8.9,2016-04-18
