rank,title,score,user_score,release_date
529,Fallen Legion+,tbd,tbd,2018-01-05
530,The Lord of the Rings: War in the North,7.2,7.2,2011-11-01
531,Dragon Age: Origins - Darkspawn Chronicles,5.3,5.3,2010-05-18
532,Dragon Age: Origins - Leliana's Song,6.2,6.2,2010-07-06
533,Kingdom Come: Deliverance - The Amorous Adventures of Bold Sir Hans Capon,6.1,6.1,2018-10-16
534,Morning's Wrath,tbd,tbd,2005-10-01
535,Fairy Fencer F,7.9,7.9,2015-08-04
536,Dragon Age II: Legacy,4.3,4.3,2011-07-26
537,Dragon Age: Inquisition - The Descent,5.8,5.8,2015-08-11
538,The Last Remnant,8.2,8.2,2009-03-24
539,The Elder Scrolls V: Skyrim - Dawnguard,7.0,7.0,2012-08-02
540,Fallout: New Vegas - Honest Hearts,6.8,6.8,2011-05-17
541,Star Trek Online,6.2,6.2,2010-02-02
542,Zombasite,8.5,8.5,2016-08-23
543,King Arthur II: The Role-Playing Wargame,6.5,6.5,2012-01-27
544,Neocron,6.7,6.7,2002-11-17
545,Sword of the New World: Granado Espada,7.7,7.7,2007-07-12
546,Swords and Sorcery - Underworld - Definitive Edition,tbd,tbd,2015-12-15
547,Vikings: Wolves of Midgard,7.1,7.1,2017-03-24
548,99 Levels To Hell,7.1,7.1,2012-06-07
549,Lightning Returns: Final Fantasy XIII,7.3,7.3,2015-12-10
550,Dark Fear,tbd,tbd,2016-06-22
551,Citizens of Earth,6.5,6.5,2015-01-20
552,Hyakki Castle,tbd,tbd,2017-11-14
553,Dragon Saga,8.5,8.5,2009-10-15
554,Immortal Planet,6.7,6.7,2017-07-27
555,Two Worlds,6.8,6.8,2007-08-23
556,Final Fantasy XIII,5.6,5.6,2014-10-09
557,Unrest,5.8,5.8,2014-07-23
558,Hyperdevotion Noire: Goddess Black Heart,4.0,4.0,2016-04-26
559,Fallout 3 - Operation: Anchorage,5.5,5.5,2009-01-27
560,Darkspore,6.0,6.0,2011-04-25
