rank,title,score,user_score,release_date
463,Carrier Command: Gaea Mission,5.6,5.6,2012-09-28
464,Ancient Wars: Sparta,7.1,7.1,2007-04-24
465,Empire of the Ants,7.0,7.0,2001-07-17
466,Warcraft III: Reforged,0.6,0.6,2020-01-28
467,Conflict Zone,5.3,5.3,2001-10-31
468,Dark Planet: Battle for Natrolis,7.5,7.5,2002-03-20
469,Dawn of Fantasy,7.1,7.1,2011-06-03
470,Cuban Missile Crisis: The Aftermath,7.0,7.0,2005-12-22
471,Tower Wars,6.7,6.7,2012-08-14
472,Kingdom Under Fire: A War of Heroes,7.5,7.5,2001-01-18
473,Mars or Die!,tbd,tbd,2018-07-13
474,Defenders of Ardania,4.6,4.6,2012-03-14
475,Clockwork Empires,3.0,3.0,2016-10-26
476,Wildfire (2004),tbd,tbd,2004-10-07
